Transaction ID,Timestamp,Customer ID,Merchant ID,Transaction Amount ($),Location,Transaction Type,Is Fraud?
Tc536814ae2,2025-01-02 09:04:00,C1240,Mf0169,1017.91,"Houston, TX",Card Present,0
T59793b278b,2025-01-07 09:29:00,C1179,Md7088,1015.94,"San Francisco, CA",Online,0
Tcad8d585e2,2025-01-04 10:26:00,C1623,Mdf1c5,598.94,"Charlotte, NC",Card Present,0
T623a375bb0,2025-01-09 09:22:00,C1046,M4ecf1,456.46,"Chicago, IL",Online,0
T59bbb5c95f,2025-01-23 10:03:00,C1965,M8ddc7,662.34,"Miami, FL",Card Present,0
Taf1b309121,2025-01-19 09:22:00,C1908,M8957d,516.82,"Washington, DC",Online,0
Tdfabbf5620,2025-01-17 10:39:00,C1519,M887cd,716.4,"Dallas, TX",ATM Withdrawal,0
T73fa31dfc1,2025-01-04 09:11:00,C1007,Mbdc0f,706.2,"Phoenix, AZ",ATM Withdrawal,0
T67f2f226d0,2025-01-21 09:45:00,C1833,M4c6b1,453.87,"Oklahoma City, OK",Online,0
T460cc13318,2025-01-21 10:21:00,C1631,M47681,555.32,"Louisville, KY",Online,0
T192bfe6e2d,2025-01-08 09:04:00,C2120,M589d8,1166.85,"San Diego, CA",Online,1
Tdda9d98de9,2025-01-16 10:28:00,C1506,M6dc3e,324.65,"Charlotte, NC",ATM Withdrawal,0
T3079fbe6cf,2025-01-28 09:12:00,C1457,M94384,591.18,"Chicago, IL",Online,0
T8b409b3035,2025-01-12 09:09:00,C1261,M2834f,467.97,"Philadelphia, PA",Card Present,0
Tbb779593cb,2025-01-13 09:40:00,C1103,M5a4e2,391.02,"Raleigh, NC",Online,0
T0ce3f779ac,2025-01-21 09:28:00,C1773,M3397f,586.33,"Boston, MA",Online,0
T44dc131c1b,2025-01-10 10:13:00,C1441,M2a551,358.11,"Oklahoma City, OK",ATM Withdrawal,0
Tb7f28c4b65,2025-01-06 09:06:00,C1262,Mc5242,880.24,"Columbus, OH",Card Present,0
T2f823366c0,2025-01-18 09:41:00,C1716,M7a22c,712.02,"Raleigh, NC",Online,0
T2598c374ba,2025-01-11 09:50:00,C1423,Md1030,542.94,"Detroit, MI",Online,0
T9dd065b809,2025-01-19 10:37:00,C1300,M3ee75,383.45,"Milwaukee, WI",ATM Withdrawal,0
T1df5cd36c9,2025-01-04 09:37:00,C2078,Md9ad0,621.98,"Chicago, IL",Online,0
Tc8cf7b0c45,2025-01-17 09:24:00,C1869,M2707c,673.44,"Washington, DC",ATM Withdrawal,0
T360036d877,2025-01-13 10:17:00,C1409,Mefa7d,487.6,"El Paso, TX",Card Present,0
Tacb8b4090e,2025-01-28 09:05:00,C1638,M5e6c9,621.78,"New York, NY",ATM Withdrawal,0
T9d78023c97,2025-01-06 10:03:00,C1331,Mab99d,656.68,"Seattle, WA",Card Present,0
T08e77539de,2025-01-23 09:57:00,C1498,M93913,404.47,"San Antonio, TX",ATM Withdrawal,0
T27afb1ff1a,2025-01-24 10:17:00,C1497,M4e913,477.7,"Nashville, TN",Online,0
Tb47244a189,2025-01-03 09:53:00,C1069,M7f063,540.69,"San Jose, CA",Online,0
Tf2b04cf3cb,2025-01-19 09:27:00,C1223,M94eb7,266.02,"Philadelphia, PA",ATM Withdrawal,0
Tdcb63e4153,2025-01-12 10:19:00,C1888,M30835,525.84,"Jacksonville, FL",Card Present,0
T26b7a8794d,2025-01-12 09:04:00,C1460,M5d0f5,433.84,"Raleigh, NC",ATM Withdrawal,0
T4fc131b5c2,2025-01-26 09:04:00,C1030,Mb9cab,224.47,"Phoenix, AZ",ATM Withdrawal,0
T1ef23b0487,2025-01-16 10:31:00,C1192,M6ea10,471.18,"Memphis, TN",Card Present,0
T2b1673d676,2025-01-31 09:31:00,C1937,M5e4c7,616.36,"Austin, TX",ATM Withdrawal,0
T95575c4598,2025-01-01 09:04:00,C1785,M7ab70,558.71,"Boston, MA",ATM Withdrawal,0
Tdcd94f650c,2025-01-09 09:33:00,C1417,Mb6fad,5.0,"Memphis, TN",Card Present,0
Tbe28f9076c,2025-01-18 10:40:00,C1890,M2c7b9,446.89,"Philadelphia, PA",Online,0
T2c668a1fce,2025-01-30 10:07:00,C1800,Me39b6,230.36,"Charlotte, NC",Card Present,0
Td661779df8,2025-01-24 09:34:00,C1763,M7ba7d,515.91,"Fort Worth, TX",Card Present,0
Te9c3816a09,2025-01-03 09:32:00,C1954,M50758,559.82,"Portland, OR",Card Present,0
T534b2b53ea,2025-01-24 10:09:00,C1239,M80df0,585.66,"New York, NY",Online,0
Tef3d177349,2025-01-25 09:29:00,C1997,M3cb0e,489.69,"Denver, CO",Card Present,0
T194b0a66c5,2025-01-11 09:27:00,C1973,M4e369,678.01,"Charlotte, NC",Online,0
T525a8f2e6f,2025-01-05 10:00:00,C1907,Mc2389,477.09,"Nashville, TN",Card Present,0
T9de7013479,2025-01-27 09:32:00,C1394,Mbb444,432.97,"Las Vegas, NV",Online,0
T99c36bb8f9,2025-01-27 09:36:00,C1749,M74ce2,491.74,"San Francisco, CA",ATM Withdrawal,0
Tf9e3d5b416,2025-01-01 10:08:00,C1547,M3c35f,322.95,"New York, NY",Card Present,0
T5bcd7c191e,2025-01-31 09:46:00,C1256,M7704b,827.99,"Chicago, IL",Online,0
T675baf78eb,2025-01-26 09:52:00,C2096,M30089,365.42,"Omaha, NE",ATM Withdrawal,0
Td569c6b7db,2025-01-29 09:16:00,C1546,M584a7,291.48,"Raleigh, NC",Card Present,0
T3a47886f9b,2025-01-29 09:51:00,C1137,M635a9,788.75,"Fort Worth, TX",Online,0
Ta39af48cfb,2025-01-05 09:06:00,C1011,M2b587,518.35,"Raleigh, NC",Online,0
T7eb9aa3b70,2025-01-31 09:16:00,C2075,M26ad1,182.83,"Fort Worth, TX",ATM Withdrawal,0
T7dfb26269c,2025-01-08 09:46:00,C1088,M6f11b,274.9,"Milwaukee, WI",Card Present,0
Td58348e4d0,2025-01-24 09:41:00,C1453,Mac7ad,492.49,"Raleigh, NC",Card Present,0
T8eb4be4e55,2025-01-01 09:35:00,C1252,M3b533,496.12,"Omaha, NE",Online,0
T3c1c0dd16c,2025-01-26 09:10:00,C1203,M0b624,607.33,"Austin, TX",ATM Withdrawal,0
Tcecf6c1489,2025-01-31 10:36:00,C1932,Md868a,347.68,"Boston, MA",Card Present,0
T0d63e3927a,2025-01-22 09:24:00,C2020,M29afc,369.49,"Oklahoma City, OK",Card Present,0
Tebeb95de20,2025-01-25 09:03:00,C2349,Ma13c9,3495.69,"Fort Worth, TX",Online,1
Td326718ac8,2025-01-09 09:29:00,C1336,M5431b,591.55,"San Diego, CA",ATM Withdrawal,0
T43f822a345,2025-01-14 09:53:00,C1953,Mc239c,390.98,"Charlotte, NC",Online,0
T3099fe574d,2025-01-08 10:27:00,C1390,M6da66,220.14,"San Jose, CA",Card Present,0
Tbcafee9a86,2025-01-15 09:05:00,C1467,M261da,500.0,"Oklahoma City, OK",Online,1
T5d84705ff3,2025-01-19 09:28:00,C1846,M5d169,321.25,"New York, NY",Online,0
T00fb6de2cd,2025-01-25 10:07:00,C1451,Mec9ac,403.29,"Oklahoma City, OK",ATM Withdrawal,0
T2186d0ac00,2025-01-24 09:16:00,C1735,Mf078d,840.82,"Oklahoma City, OK",Online,0
T2cc2d226b7,2025-01-08 09:04:00,C2233,Mcef82,2641.6,"Dallas, TX",Online,1
T2b07ff054b,2025-01-13 09:05:00,C2130,M4af75,2743.48,"Seattle, WA",Online,1
T15b5051417,2025-01-02 09:22:00,C1947,Me031b,454.95,"Chicago, IL",Card Present,0
T5d99b2da99,2025-01-28 09:33:00,C1457,Ma6ec2,408.18,"Austin, TX",Online,0
T22a619a60b,2025-01-10 10:04:00,C1682,Mc2972,439.29,"Boston, MA",Online,0
T3c6d9115e8,2025-01-31 09:51:00,C1932,M3b2e4,448.39,"Indianapolis, IN",Online,0
T042eacd10d,2025-01-23 10:15:00,C1745,Me381b,658.92,"Miami, FL",ATM Withdrawal,0
T1148ce5c69,2025-01-08 09:31:00,C1938,M5b1fb,219.43,"Washington, DC",Online,0
T2c164b47e3,2025-01-02 10:22:00,C1737,M214f2,285.26,"Detroit, MI",ATM Withdrawal,0
T289bec23b8,2025-01-28 09:39:00,C1891,Mc2a00,427.29,"Memphis, TN",Card Present,0
Tf6916a1ef0,2025-01-14 09:04:00,C1522,Md6eb5,1867.24,"Miami, FL",Online,1
T33fd5cebed,2025-01-23 10:12:00,C1909,Mfe324,506.35,"Raleigh, NC",Card Present,0
T06515b902d,2025-01-18 09:57:00,C2045,M37ca3,276.41,"Raleigh, NC",Card Present,0
T1338ced11f,2025-01-05 10:11:00,C1933,M14f64,359.26,"Las Vegas, NV",ATM Withdrawal,0
T5978aed3e2,2025-01-19 09:07:00,C1052,Mc6940,562.18,"Phoenix, AZ",ATM Withdrawal,0
T1fa5a73cb2,2025-01-23 09:04:00,C1350,M09089,968.89,"Columbus, OH",Online,1
Tcb84a151be,2025-01-11 09:18:00,C1721,M92ab5,646.57,"Chicago, IL",ATM Withdrawal,0
T841b6d132e,2025-01-01 10:37:00,C1990,M2de48,586.47,"Jacksonville, FL",ATM Withdrawal,0
Tf307ad0630,2025-01-06 09:23:00,C1055,M65dee,380.12,"Indianapolis, IN",Online,0
T01d699cb0f,2025-01-27 09:25:00,C1517,M46937,204.11,"San Antonio, TX",Card Present,0
Te097eb8e3a,2025-01-18 10:10:00,C1414,Mc7198,438.44,"El Paso, TX",Card Present,0
T9361854f79,2025-01-11 10:38:00,C1982,Maeab3,334.83,"Fort Worth, TX",Online,0
T4674819dc2,2025-01-15 10:26:00,C1317,Mbe31d,592.43,"Portland, OR",Online,0
T523300df26,2025-01-11 10:18:00,C1026,M2fc3e,665.44,"Louisville, KY",ATM Withdrawal,0
Td01275ba90,2025-01-25 10:11:00,C1399,M6ceb3,590.95,"Oklahoma City, OK",ATM Withdrawal,0
T8a37bd3752,2025-01-30 09:21:00,C1054,M72a0d,599.6,"Raleigh, NC",Card Present,0
T6fd528116a,2025-01-08 09:33:00,C1747,M96fce,475.02,"Raleigh, NC",ATM Withdrawal,0
Td802562711,2025-01-13 09:57:00,C1558,Me3dee,531.55,"Omaha, NE",Card Present,0
T7e23555523,2025-01-29 10:17:00,C1444,Mc8a39,638.54,"Nashville, TN",Online,0
Tc112805ee7,2025-01-30 09:53:00,C1282,M18fe3,593.54,"Seattle, WA",Card Present,0
T2f7c20fdba,2025-01-30 09:46:00,C1116,M9ffd8,462.63,"Atlanta, GA",Card Present,0
Te541b5c424,2025-01-09 10:00:00,C1855,M71158,381.55,"Omaha, NE",Card Present,0
Ta922dc607b,2025-01-19 09:23:00,C1742,M37a5f,607.28,"Milwaukee, WI",Online,0
T7e50f832f6,2025-01-23 09:12:00,C1224,Mda2f8,593.75,"Baltimore, MD",Online,0
T9c596e6a28,2025-01-07 09:26:00,C1174,M44409,508.12,"Los Angeles, CA",Online,0
T3802f7ae8f,2025-01-29 09:55:00,C1444,M62939,826.37,"Omaha, NE",Online,0
T373280664d,2025-01-23 09:49:00,C1815,Mf9dd8,387.16,"Houston, TX",ATM Withdrawal,0
T97a009abb2,2025-01-24 09:55:00,C1497,Mb0a5c,422.46,"El Paso, TX",Online,0
T07ff7e30fc,2025-01-18 09:04:00,C2030,M22bca,1656.15,"Indianapolis, IN",Online,1
T4442b03e31,2025-01-07 10:05:00,C1179,M7cc7d,827.82,"Boston, MA",ATM Withdrawal,0
Td19dafdd82,2025-01-22 09:03:00,C1573,M8512a,3790.64,"Dallas, TX",Online,1
T97a7fcd602,2025-01-28 10:04:00,C1150,M509fc,579.16,"Washington, DC",Online,0
T2b3b78c391,2025-01-21 09:34:00,C1469,M667e4,128.42,"Raleigh, NC",Online,0
T0151a31d99,2025-01-27 09:48:00,C1590,Mf1736,784.1,"Houston, TX",ATM Withdrawal,0
Tadab7b3181,2025-01-14 09:58:00,C1449,Md3ee0,614.48,"San Diego, CA",Online,0
T601803f99b,2025-01-28 10:04:00,C1396,M591a6,406.84,"Raleigh, NC",Card Present,0
Tc4fd9e3926,2025-01-22 10:33:00,C1918,M5c358,566.29,"Austin, TX",Card Present,0
T144b572ece,2025-01-26 09:05:00,C1112,M4785c,3120.67,"Austin, TX",Online,1
Td11e62031b,2025-01-18 09:18:00,C1889,M30112,696.77,"Charlotte, NC",Card Present,0
Tf7fc80ab1c,2025-01-14 09:03:00,C1108,M34692,354.85,"Portland, OR",Card Present,0
Tbed2f1fb20,2025-01-20 09:02:00,C1816,M20265,566.33,"Baltimore, MD",Online,0
T3ee5f5e047,2025-01-09 10:16:00,C1656,M1d7d7,653.25,"Fort Worth, TX",Online,0
T264bf4b236,2025-01-03 10:13:00,C1119,M54a52,443.64,"San Francisco, CA",Card Present,0
T69ef216bb0,2025-01-04 09:47:00,C1622,Mdd612,180.43,"San Antonio, TX",Card Present,0
Tb51f67e87b,2025-01-23 09:39:00,C1909,M81961,466.98,"Denver, CO",ATM Withdrawal,0
T95423f108c,2025-01-12 10:30:00,C1326,M3fda4,677.38,"Denver, CO",ATM Withdrawal,0
T8220b96e1c,2025-01-29 09:16:00,C1137,M6746d,723.46,"Austin, TX",ATM Withdrawal,0
Tec1b74fd39,2025-01-10 09:05:00,C1057,M0add2,3679.44,"Charlotte, NC",Online,1
T3ff07d850f,2025-01-18 09:40:00,C1270,M98d90,261.27,"Los Angeles, CA",Online,0
T0b5fa7acdf,2025-01-10 10:16:00,C1004,M5eb24,870.46,"Louisville, KY",Online,0
T9a62d176dc,2025-01-18 09:44:00,C1537,M7409c,142.72,"San Diego, CA",ATM Withdrawal,0
T319bb27707,2025-01-27 09:24:00,C1394,M28c67,810.83,"Chicago, IL",ATM Withdrawal,0
Tfce8a44afd,2025-01-16 10:13:00,C1740,M9069d,668.77,"El Paso, TX",Online,0
Tb444fb7c77,2025-01-22 10:05:00,C1573,M55f5e,279.55,"Baltimore, MD",Card Present,0
Te2df807fd4,2025-01-13 09:11:00,C1709,Mb04c7,424.87,"Charlotte, NC",ATM Withdrawal,0
T5b356538d9,2025-01-12 10:30:00,C1821,Mcfe8d,471.02,"Atlanta, GA",ATM Withdrawal,0
T015a62173e,2025-01-06 09:30:00,C1297,Mab934,395.18,"Baltimore, MD",ATM Withdrawal,0
Tc5f23abc5d,2025-01-26 09:26:00,C1895,M3859d,560.37,"Charlotte, NC",Card Present,0
T2f3c377721,2025-01-03 09:57:00,C1424,M3b608,691.06,"Boston, MA",Online,0
T2893ef4ef0,2025-01-20 09:43:00,C1113,M3f5a6,485.97,"Chicago, IL",ATM Withdrawal,0
Tb24e03b2cb,2025-01-01 09:34:00,C1080,Ma78cf,674.22,"Indianapolis, IN",ATM Withdrawal,0
Tcbc5fe065d,2025-01-04 09:15:00,C1007,M6fa0d,622.34,"Philadelphia, PA",Card Present,0
T5d565973e2,2025-01-26 09:39:00,C1106,M164c2,551.21,"Los Angeles, CA",ATM Withdrawal,0
T655d27c8bc,2025-01-05 10:39:00,C1719,Md7de6,612.97,"Portland, OR",ATM Withdrawal,0
T1de7ab75fb,2025-01-05 10:16:00,C1991,M96936,273.79,"Denver, CO",ATM Withdrawal,0
T062fe12e91,2025-01-06 09:55:00,C1739,Mf606d,448.48,"Phoenix, AZ",Card Present,0
T0087d01358,2025-01-14 10:34:00,C1948,Mb4887,90.1,"Austin, TX",Card Present,0
Tc7838f28ee,2025-01-18 10:31:00,C1269,M650f4,585.44,"Nashville, TN",Online,0
T46b60c2f44,2025-01-21 09:40:00,C1159,Ma432f,674.01,"Jacksonville, FL",ATM Withdrawal,0
T37fb9710a2,2025-01-13 09:44:00,C1611,M03c3f,787.02,"San Antonio, TX",ATM Withdrawal,0
T7578d38b37,2025-01-29 09:46:00,C1484,M7c78a,431.82,"Denver, CO",Online,0
T8d07a419a7,2025-01-21 10:22:00,C2087,M1a149,474.22,"Indianapolis, IN",ATM Withdrawal,0
Tfaf78295e1,2025-01-20 09:01:00,C2171,M14407,1574.92,"Nashville, TN",Online,1
Tbff56aa67e,2025-01-25 09:39:00,C1333,M23883,899.13,"Detroit, MI",ATM Withdrawal,0
T232d44009d,2025-01-14 09:20:00,C1600,M138c6,605.31,"Fort Worth, TX",Online,0
T02a95095dc,2025-01-14 09:28:00,C1753,M54cac,856.96,"Columbus, OH",ATM Withdrawal,0
T2d01c83b79,2025-01-01 10:03:00,C1252,M986b1,176.74,"Atlanta, GA",Online,0
Te06b8f3e75,2025-01-14 09:13:00,C2063,M6ec60,626.18,"Omaha, NE",ATM Withdrawal,0
T31d049582a,2025-01-29 10:40:00,C1840,M693d3,386.66,"Seattle, WA",Card Present,0
T4e0c7c3512,2025-01-25 09:57:00,C1755,M7f455,448.61,"Philadelphia, PA",Card Present,0
T93efa28244,2025-01-06 10:18:00,C1245,M4f377,540.23,"San Diego, CA",Card Present,0
Te1a577592b,2025-01-19 10:11:00,C1230,M9a5a3,176.97,"Austin, TX",ATM Withdrawal,0
T5deab0bf59,2025-01-07 09:03:00,C1114,Mfa64b,1418.94,"Columbus, OH",Online,1
T5896d3ab80,2025-01-26 09:05:00,C1219,Mdb84d,2329.82,"Louisville, KY",Online,1
Tec8f06b80f,2025-01-27 10:19:00,C1286,M60cf1,618.71,"Seattle, WA",Online,0
T1e43d97f7b,2025-01-14 10:40:00,C1913,Mb2620,465.67,"Memphis, TN",Card Present,0
T0ee184bc95,2025-01-09 09:07:00,C1771,M70c90,445.03,"San Francisco, CA",ATM Withdrawal,0
T465d257d60,2025-01-12 10:39:00,C1059,M9d084,642.32,"Fort Worth, TX",Card Present,0
T473120eaf6,2025-01-23 09:13:00,C1727,M597ea,824.78,"Raleigh, NC",Card Present,0
T4701cf9026,2025-01-05 10:03:00,C1335,M76e76,388.34,"Austin, TX",Online,0
T7c6a4f6eea,2025-01-28 10:39:00,C1597,M8f63c,422.35,"Milwaukee, WI",ATM Withdrawal,0
T74b3578b45,2025-01-12 09:51:00,C1059,M251f8,471.52,"Washington, DC",Card Present,0
T67d0f8b90a,2025-01-16 10:00:00,C1976,M1d459,391.28,"Detroit, MI",Card Present,0
Tc95be5d0db,2025-01-23 10:10:00,C1325,M7646b,520.87,"Detroit, MI",Online,0
Tdc02d982ca,2025-01-10 10:10:00,C1057,M26684,477.09,"Los Angeles, CA",ATM Withdrawal,0
T6835ad8adf,2025-01-11 09:10:00,C1528,M04f07,618.08,"Denver, CO",Online,0
T45baff56b2,2025-01-04 10:08:00,C2061,Mabbf2,315.13,"Detroit, MI",Online,0
T1ed2ea0224,2025-01-03 09:32:00,C1361,M77b58,1089.82,"Baltimore, MD",Card Present,0
T7763c54a20,2025-01-12 10:19:00,C1326,M67607,497.58,"Austin, TX",ATM Withdrawal,0
T327bdb8a97,2025-01-27 10:17:00,C1447,M1c9c9,651.94,"Indianapolis, IN",Online,0
Tc2b2b76f4e,2025-01-18 10:00:00,C1414,Mb44b8,636.27,"Nashville, TN",Card Present,0
T988c5a8c3c,2025-01-06 09:43:00,C1807,Mc5bc2,916.94,"San Antonio, TX",ATM Withdrawal,0
Tdd77ee6e39,2025-01-18 10:14:00,C2032,M39a0a,1123.54,"Austin, TX",Card Present,0
T7e7e3d0cd9,2025-01-15 09:02:00,C1822,M950bd,704.57,"San Francisco, CA",ATM Withdrawal,0
T0fbfe6cb07,2025-01-26 10:03:00,C1789,M18c1c,417.8,"Denver, CO",Online,0
T6f5dc3f289,2025-01-08 10:30:00,C1471,M41ad9,888.24,"Columbus, OH",Online,0
Te6d0831c20,2025-01-21 09:40:00,C1878,M53318,270.57,"Dallas, TX",Card Present,0
Tb1e34ef0c0,2025-01-04 09:02:00,C1130,M7c13c,2646.71,"San Francisco, CA",Online,1
Tc92ae1554b,2025-01-30 09:33:00,C1268,Mc59e7,123.63,"Louisville, KY",Card Present,0
T0f4f0a14fb,2025-01-02 10:09:00,C1407,M42372,573.75,"Louisville, KY",Card Present,0
Ta2e8c93c09,2025-01-29 10:34:00,C1357,Mb9611,638.58,"Indianapolis, IN",ATM Withdrawal,0
T70adf24c46,2025-01-17 09:44:00,C1322,Mf8079,648.84,"Detroit, MI",ATM Withdrawal,0
Ta6689d33e2,2025-01-07 10:12:00,C1238,M23ea9,330.73,"Omaha, NE",ATM Withdrawal,0
Td9caba29c8,2025-01-27 10:23:00,C1517,M3d2a8,751.85,"Philadelphia, PA",Card Present,0
T4bb7f4f9ea,2025-01-20 09:17:00,C1315,M651bf,178.47,"Denver, CO",ATM Withdrawal,0
T3628f5448d,2025-01-24 09:30:00,C1310,Mbcf60,587.7,"Baltimore, MD",ATM Withdrawal,0
T17edc68510,2025-01-04 09:02:00,C1623,Mdde70,754.29,"Los Angeles, CA",Online,1
Td8967daac5,2025-01-13 09:56:00,C1526,M7a5bc,82.7,"Detroit, MI",ATM Withdrawal,0
T68a78925fd,2025-01-12 09:23:00,C1202,M84b08,305.68,"Dallas, TX",Card Present,0
Tb288a431eb,2025-01-01 09:57:00,C1196,Md141b,496.94,"Los Angeles, CA",Card Present,0
T3d52e91593,2025-01-18 10:14:00,C1594,M10885,409.04,"San Diego, CA",ATM Withdrawal,0
Tee6b85d822,2025-01-17 10:30:00,C2031,Mcbdb6,502.8,"Las Vegas, NV",Card Present,0
Ta8c001c54f,2025-01-18 10:01:00,C2030,M152c7,973.48,"Denver, CO",ATM Withdrawal,0
T8c119e35bc,2025-01-06 10:08:00,C1430,M6ea09,117.55,"Austin, TX",ATM Withdrawal,0
T2eb3043bb7,2025-01-09 09:03:00,C1001,M55f75,407.32,"Columbus, OH",Online,0
T409bcafbf8,2025-01-03 09:56:00,C1446,M57aa8,109.78,"Atlanta, GA",ATM Withdrawal,0
Ta0137544e1,2025-01-01 09:16:00,C1793,M393f7,199.43,"Denver, CO",ATM Withdrawal,0
T4fa06c0ae3,2025-01-22 09:53:00,C1038,M1cfc2,753.38,"San Francisco, CA",Online,0
T965b59994c,2025-01-08 10:19:00,C1736,M6e7be,580.05,"Detroit, MI",ATM Withdrawal,0
T23ad22ac45,2025-01-09 09:02:00,C1585,Mfa259,1761.94,"El Paso, TX",Online,1
Tefa6d84224,2025-01-03 09:37:00,C1143,M3aac0,614.52,"Memphis, TN",ATM Withdrawal,0
T89a33259ac,2025-01-04 09:49:00,C1688,M1778a,301.11,"Las Vegas, NV",Card Present,0
T69ad8e8934,2025-01-26 09:49:00,C1644,M86b2d,737.72,"Memphis, TN",Online,0
T598a90629e,2025-01-02 09:47:00,C1323,M70199,658.13,"Miami, FL",ATM Withdrawal,0
T1baafd3340,2025-01-31 09:42:00,C1861,M2337f,332.58,"Los Angeles, CA",Online,0
Tc8a6461c6a,2025-01-04 09:13:00,C1489,M62727,184.6,"El Paso, TX",Card Present,0
Td06700bcca,2025-01-11 09:03:00,C1303,M03913,211.23,"San Diego, CA",Online,0
Td07dde6da3,2025-01-08 09:10:00,C1241,M22f6b,727.98,"El Paso, TX",Card Present,0
Tb2bbcc37b5,2025-01-31 09:58:00,C1916,Me7755,367.07,"Denver, CO",ATM Withdrawal,0
T3578a2d63f,2025-01-27 09:21:00,C1502,M2af77,632.99,"Austin, TX",Card Present,0
T83c5fb11b7,2025-01-05 09:16:00,C1278,M59209,946.26,"San Jose, CA",Card Present,0
Ta2b32a7c2c,2025-01-12 09:15:00,C1503,Mb5723,392.94,"Omaha, NE",Card Present,0
Tb1529b3238,2025-01-03 09:22:00,C1037,M5dcd7,853.09,"Austin, TX",Card Present,0
Te1969d9074,2025-01-13 09:15:00,C1692,M07c82,446.88,"Dallas, TX",Online,0
T0ea700bc9a,2025-01-24 10:34:00,C1604,Ma40dd,330.73,"San Diego, CA",Online,0
T10d3985d5b,2025-01-06 09:37:00,C1729,M4dcc9,275.69,"Miami, FL",ATM Withdrawal,0
T99483c932d,2025-01-25 09:36:00,C1667,M90c36,496.68,"Portland, OR",Card Present,0
T8f017c1be8,2025-01-26 09:01:00,C2412,Mf0b50,3763.86,"Boston, MA",Online,1
T54b00b44ee,2025-01-31 10:31:00,C1813,M02758,509.2,"Houston, TX",Card Present,0
T1eb3aa13f9,2025-01-13 10:27:00,C1163,Mf9e4c,737.89,"Omaha, NE",Online,0
T7cf9174780,2025-01-17 09:12:00,C1132,Mf3360,549.88,"Los Angeles, CA",Card Present,0
Tac4284a1d5,2025-01-31 10:40:00,C1329,Mec455,506.83,"Chicago, IL",Online,0
Tc57614c00d,2025-01-23 10:02:00,C1626,Mdc2d9,839.89,"Memphis, TN",Card Present,0
T78be5725f7,2025-01-05 10:09:00,C1907,M010f9,763.64,"Raleigh, NC",Card Present,0
T6aa0f5a4fb,2025-01-25 09:04:00,C2349,M87546,1618.57,"Baltimore, MD",Online,1
